"logFC","AveExpr","t","P.Value","adj.P.Val","B","Status"
0.291313221197393,7.40311435827103,4.36977041272687,2.86008866373748e-05,0.000108923868901149,1.42510193743535,"Not Significant"
-0.316723455316684,10.6430740930654,-4.36958238635945,2.86218190907182e-05,0.000108984961517169,1.42439981416632,"Not Significant"
0.2349712616235,6.65488527396262,4.36641119210995,2.8977091572829e-05,0.000110318901677319,1.41256120552629,"Not Significant"
0.364178120379302,9.5413901464486,4.36593348242016,2.90309768725932e-05,0.000110505168714041,1.41077835500698,"Not Significant"
-0.329864333331113,9.94976917351402,-4.36498491923609,2.91382604675687e-05,0.000110894595729946,1.40723864648789,"Not Significant"
0.445686728770225,10.2652738743645,4.36467451944853,2.91734499314778e-05,0.000110998090204731,1.40608045913093,"Not Significant"
0.268661976857489,10.5737987485327,4.36465718000923,2.91754168796442e-05,0.000110998090204731,1.40601576259293,"Not Significant"
-0.790504274945111,11.3859180656168,-4.36344958391939,2.9312718759415e-05,0.000111501418934115,1.40151044897401,"Not Significant"
0.503888949908153,6.2453769118972,4.36314997062583,2.93468806273457e-05,0.00011161231285529,1.40039278332474,"Not Significant"
-0.549773522222385,7.90210136641122,-4.36299132524332,2.93649848842635e-05,0.000111662108903762,1.39980100058572,"Not Significant"
0.172197624880011,7.34350520917757,4.36060578020947,2.9638518992194e-05,0.00011268300950402,1.3909042011885,"Not Significant"
0.188344928639683,9.17578343559813,4.36011691395659,2.96948762547907e-05,0.000112878015623593,1.38908141385126,"Not Significant"
0.378498069692467,10.3576423301682,4.35997647510068,2.97110853472734e-05,0.000112920367524014,1.38855779982159,"Not Significant"
0.21830381515728,5.92852337780374,4.35942365473995,2.97749733220661e-05,0.000113143883106343,1.38649677209546,"Not Significant"
-0.352928287667142,12.0725759993458,-4.35926334754811,2.9793524340394e-05,0.000113195072954305,1.38589914823728,"Not Significant"
0.343402470055937,8.16638143728972,4.35920367026914,2.98004331397681e-05,0.000113202020397793,1.38567667577757,"Not Significant"
0.276736540018993,9.74224194650467,4.35741362161365,3.00083849479528e-05,0.000113972531412175,1.37900449947337,"Not Significant"
0.370754594999289,9.80087708791589,4.35730816728912,3.00206791963068e-05,0.00011399979456907,1.37861149192833,"Not Significant"
