"logFC","AveExpr","t","P.Value","adj.P.Val","B","Status"
-1.27472453395814,10.215113387,-13.1590297625205,3.26689455580016e-24,2.29641045384526e-22,44.4965642413902,"Downregulated"
-2.65151300332689,11.8396058667757,-13.0782026727561,4.93354862109109e-24,3.4247434244166e-22,44.0866533807758,"Downregulated"
-2.75306777789727,11.3383201691963,-13.0680569741696,5.19576671624726e-24,3.59556738317198e-22,44.0351576278264,"Downregulated"
-1.23104546651549,8.91865621843925,-13.057353020831,5.48759192620005e-24,3.77407441023196e-22,43.9808182292742,"Downregulated"
-2.57698937164603,11.6217120746542,-13.046162619933,5.81028392722425e-24,3.97148947086926e-22,43.9239982232087,"Downregulated"
-2.03259299386771,7.64716409673832,-13.0221399197217,6.56880250373503e-24,4.47622710063387e-22,43.801983098165,"Downregulated"
-1.15215387500458,9.66287724190654,-13.003199728802,7.23630225609561e-24,4.90111012682609e-22,43.7057461910999,"Downregulated"
-2.81292332822168,11.244742463514,-12.9765752200557,8.29131401749028e-24,5.5649201883053e-22,43.5704101776643,"Downregulated"
-1.4068243571397,10.7594130472056,-12.9624127456781,8.91405814893904e-24,5.9470646027787e-22,43.4983946235482,"Downregulated"
-1.33572790320902,8.32383425117757,-12.9576358773691,9.13451970251623e-24,6.05787209914194e-22,43.4741004394821,"Downregulated"
-1.09227377022168,8.81335522097196,-12.9554471661658,9.23735258115631e-24,6.10789102569454e-22,43.4629684215093,"Downregulated"
-1.45649083792823,8.98933784566355,-12.9388358573814,1.00566288243649e-23,6.5909370615683e-22,43.3784677090016,"Downregulated"
-2.71662649738741,11.1129287443832,-12.9204019080555,1.10514463442463e-23,7.17957372853762e-22,43.2846668129683,"Downregulated"
-1.2949087473297,7.25514087358879,-12.9164394680517,1.12778615956119e-23,7.30536598648314e-22,43.2645000860183,"Downregulated"
-2.82446863865201,11.8120778154112,-12.8929659490382,1.27179070802474e-23,8.19055270142062e-22,43.1450040323198,"Downregulated"
-3.0160210294979,11.3424904249907,-12.882713863734,1.34034260346844e-23,8.58242937732392e-22,43.0927988852417,"Downregulated"
-2.0951139931492,9.26024778886916,-12.8288295915627,1.76651664129558e-23,1.11510737444729e-21,42.8182621673618,"Downregulated"
