"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"CC","GO:0005788","endoplasmic reticulum lumen","35/669","338/19979",0.103550295857988,3.09242355896375,7.22144453389176,3.56935739838464e-09,2.35067680093617e-07,2.35067680093617e-07,"CHRDL1/COL1A1/GAS6/COL5A2/IL6/EDN1/SERPING1/EOGT/COL5A1/GOLM1/MMRN2/GPC3/TNC/CLU/CES1/COL11A1/CDH1/WFS1/SPARCL1/SPP1/P3H2/F8/COL1A2/VCAN/COL10A1/COL4A3/CP/PDIA4/BCHE/NEK2/TIMP1/IGFBP3/COL3A1/COL4A5/COL13A1",35
"CC","GO:0045178","basal part of cell","32/669","324/19979",0.0987654320987654,2.94952850209452,6.58511701130695,5.15440016531292e-08,2.97022309526157e-06,2.97022309526157e-06,"PLPP3/SLC39A8/LEPR/FOLR1/EDN1/LDLR/FAP/SLC2A1/CD34/CEACAM1/SLC16A3/TGFBR3/HPGD/SLC7A5/DST/ABCC3/AURKA/EPCAM/DSP/SLCO2A1/TEK/NEDD9/CEACAM5/CADM1/AQP4/C5AR1/STK39/CAV1/AQP1/ABCA8/CLDN4/ST14",32
"CC","GO:0043292","contractile muscle fiber","27/669","253/19979",0.106719367588933,3.18706464134423,6.51628832053695,1.19363594325959e-07,6.11406855380746e-06,6.11406855380745e-06,"SYNPO/SYNM/SPTBN1/DNAJB4/SYNE1/MYH11/SLC2A1/KRT19/PECAM1/ENO1/CAPN3/SYNC/DST/LMOD1/KAT2B/PDLIM2/DES/FHL5/AHNAK/NEBL/CRYAB/KRT8/FHL2/MYL9/TNNC1/FERMT2/DMD",27
"CC","GO:0009925","basal plasma membrane","30/669","305/19979",0.0983606557377049,2.93744027052856,6.34643498028836,1.47442514431253e-07,6.79709991528078e-06,6.79709991528078e-06,"PLPP3/SLC39A8/LEPR/FOLR1/LDLR/SLC2A1/CD34/CEACAM1/SLC16A3/TGFBR3/HPGD/SLC7A5/DST/ABCC3/AURKA/EPCAM/DSP/SLCO2A1/TEK/NEDD9/CEACAM5/CADM1/AQP4/C5AR1/STK39/CAV1/AQP1/ABCA8/CLDN4/ST14",30
"CC","GO:0005583","fibrillar collagen trimer","6/669","11/19979",0.545454545454545,16.2894415002038,9.44101323731429,5.51709165221064e-07,2.11948270972425e-05,2.11948270972426e-05,"COL1A1/COL5A2/COL5A1/COL11A1/COL1A2/COL3A1",6
"CC","GO:0098643","fibrillar collagen complex","6/669","11/19979",0.545454545454545,16.2894415002038,9.44101323731429,5.51709165221064e-07,2.11948270972425e-05,2.11948270972426e-05,"COL1A1/COL5A2/COL5A1/COL11A1/COL1A2/COL3A1",6
"CC","GO:0030016","myofibril","25/669","243/19979",0.102880658436214,3.07242552301513,6.0499310786983,6.97246803529856e-07,2.47254443405587e-05,2.47254443405587e-05,"SYNPO/SYNM/SPTBN1/DNAJB4/SYNE1/SLC2A1/KRT19/ENO1/CAPN3/SYNC/DST/LMOD1/KAT2B/PDLIM2/DES/FHL5/AHNAK/NEBL/CRYAB/KRT8/FHL2/MYL9/TNNC1/FERMT2/DMD",25
"CC","GO:0005581","collagen trimer","10/669","42/19979",0.238095238095238,7.11047049612072,7.37848703740126,9.24840300244657e-07,3.04536698866276e-05,3.04536698866276e-05,"COL1A1/COL5A2/COL5A1/COL11A1/COL1A2/COL10A1/COL4A3/COL3A1/COL4A5/COL13A1",10
"CC","GO:0042571","immunoglobulin complex, circulating","6/669","12/19979",0.5,14.9319880418535,8.98556175836751,1.07211311647003e-06,3.29496097795124e-05,3.29496097795124e-05,"IGHG1/IGHD/IGHM/IGHA1/IGHG3/IGHA2",6
"CC","GO:0042383","sarcolemma","18/669","142/19979",0.126760563380282,3.78557443314596,6.2003880363679,1.29543981439341e-06,3.732485965221e-05,3.732485965221e-05,"SYNM/SLC2A1/KRT19/CAPN3/CACNA2D2/SYNC/FXYD1/ANXA8L1/DES/CAV2/AHNAK2/AHNAK/AQP4/ANXA8/KRT8/CAV1/AQP1/DMD",18
"CC","GO:0030055","cell-substrate junction","34/669","414/19979",0.0821256038647343,2.45259706967642,5.55908525575836,1.54929560706785e-06,3.94754499695028e-05,3.94754499695028e-05,"MCAM/HMGA1/MME/FHL1/ADGRE5/FAP/PLAU/NFASC/TNC/RRAS/EPB41L2/TNS1/ITGA8/DST/PDLIM2/CNN1/FLRT3/TEK/NEDD9/CAV2/AHNAK/ENG/LMO7/CAT/FAM107A/CAV1/SORBS1/EFNB2/LIMS2/SLC6A4/DLC1/FHL2/FERMT2/DMD",34
"CC","GO:0098644","complex of collagen trimers","9/669","35/19979",0.257142857142857,7.67930813581038,7.36134708423794,1.62206657093402e-06,3.94754499695028e-05,3.94754499695028e-05,"COL1A1/COL5A2/COL5A1/COL11A1/COL1A2/COL10A1/COL4A3/COL3A1/COL4A5",9
"CC","GO:0005604","basement membrane","15/669","103/19979",0.145631067961165,4.34912273063695,6.34283052422962,1.69836016942959e-06,3.94754499695028e-05,3.94754499695028e-05,"MATN2/COL5A1/TIMP3/MMRN2/TNC/FBLN1/LAMA4/DST/THBS2/P3H2/ADAMTS1/COL4A3/TIMP1/COL4A5/COL13A1",15
"CC","GO:0030017","sarcomere","23/669","222/19979",0.103603603603604,3.09401554020388,5.83974406620541,1.71260086635587e-06,3.94754499695028e-05,3.94754499695028e-05,"SYNPO/SPTBN1/DNAJB4/SYNE1/SLC2A1/KRT19/ENO1/CAPN3/SYNC/DST/LMOD1/KAT2B/PDLIM2/DES/FHL5/NEBL/CRYAB/KRT8/FHL2/MYL9/TNNC1/FERMT2/DMD",23
"CC","GO:0016323","basolateral plasma membrane","26/669","273/19979",0.0952380952380952,2.84418819844829,5.71064612993455,1.82454810335222e-06,4.00531750307321e-05,4.00531750307321e-05,"PLPP3/SLC39A8/LEPR/FOLR1/LDLR/SLC2A1/SLC16A3/TGFBR3/HPGD/SLC7A5/ABCC3/AURKA/EPCAM/DSP/SLCO2A1/TEK/NEDD9/CEACAM5/CADM1/AQP4/C5AR1/STK39/CAV1/AQP1/ABCA8/ST14",26
