"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0030038","contractile actin filament bundle assembly","14/652","103/18842",0.135922330097087,3.92798856394068,5.64123518523737,1.23184436469521e-05,0.000287792033181902,9.54519163992318e-05,"RGCC/SYNPO/CCN2/ZEB2/S1PR1/PTGER4/LIMCH1/ARRB1/SORBS1/DLC1/PIK3R1/MYL9/ARHGAP6/FERMT2",14
"BP","GO:0043149","stress fiber assembly","14/652","103/18842",0.135922330097087,3.92798856394068,5.64123518523737,1.23184436469521e-05,0.000287792033181902,9.54519163992318e-05,"RGCC/SYNPO/CCN2/ZEB2/S1PR1/PTGER4/LIMCH1/ARRB1/SORBS1/DLC1/PIK3R1/MYL9/ARHGAP6/FERMT2",14
"BP","GO:1902099","regulation of metaphase/anaphase transition of cell cycle","14/652","103/18842",0.135922330097087,3.92798856394068,5.64123518523737,1.23184436469521e-05,0.000287792033181902,9.54519163992318e-05,"BUB1B/DLGAP5/TTK/ZWINT/NDC80/TRIP13/BIRC5/UBE2C/CENPF/DUSP1/BUB1/CCNB1/CDC20/MAD2L1",14
"BP","GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","26/652","294/18842",0.0884353741496599,2.55567380326364,5.08982772662872,1.24611461132758e-05,0.000289625298065776,9.6059954934901e-05,"PIP5K1B/CHI3L1/RGCC/GAS6/PROS1/EDN1/NTRK2/ANGPT1/CX3CR1/FGR/PECAM1/HYAL2/CEACAM1/DCN/RRAS/F2RL1/RAMP3/CEP55/KLF4/TEK/ENG/GDF15/HBEGF/PIK3R1/FERMT2/SEMA5A",26
"BP","GO:2000352","negative regulation of endothelial cell apoptotic process","8/652","33/18842",0.242424242424242,7.00576315300242,6.53735005809064,1.26986926275562e-05,0.000293632846449493,9.73891375709144e-05,"GAS6/ANGPT1/GATA2/NDNF/RAMP2/CDH5/TEK/SEMA5A",8
"BP","GO:0090066","regulation of anatomical structure size","33/652","423/18842",0.0780141843971631,2.25451420615237,4.94051436636306,1.27799534947989e-05,0.000293944704343851,9.74925714058667e-05,"HBB/SPTBN1/EDN1/TRPV2/SVEP1/PECAM1/ADRB2/SEMA3G/CYRIA/CXCL12/F2RL1/KLF2/KANK3/CDH1/LMOD1/EDNRA/KAT2B/SLIT2/SPP1/GCLC/NPR1/AQP4/AGTR1/DOCK4/STK39/CAV1/MACF1/KANK2/AGTR2/SLC6A4/AQP1/EDNRB/SEMA5A",33
"BP","GO:0072009","nephron epithelium development","13/652","90/18842",0.144444444444444,4.17426721199727,5.71479115435129,1.28425608240715e-05,0.000293944704343851,9.74925714058667e-05,"EDN1/CD24/TCF21/PECAM1/CD34/GPC3/BMP2/EDNRA/PODXL/LGR4/AGTR2/AQP1/GREM1",13
"BP","GO:0008217","regulation of blood pressure","18/652","162/18842",0.111111111111111,3.21097477845944,5.35072071051669,1.3318955368692e-05,0.000303308938168849,0.000100598404650533,"HBB/MME/NMU/EDN1/NPR3/ADRB2/CPA3/F2RL1/RAMP2/KCNK3/KL/EDNRA/NPR1/AGTR1/COL1A2/ENG/AGTR2/EDNRB",18
"BP","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","14/652","104/18842",0.134615384615385,3.89021944313355,5.59558237759768,1.37894358458063e-05,0.000311959547536657,0.000103467550238231,"BUB1B/DLGAP5/TTK/ZWINT/NDC80/TRIP13/BIRC5/UBE2C/CENPF/DUSP1/BUB1/CCNB1/CDC20/MAD2L1",14
"BP","GO:0001659","temperature homeostasis","20/652","194/18842",0.103092783505155,2.97925494908608,5.24621273552704,1.38371943906257e-05,0.000311959547536657,0.000103467550238231,"NMU/LEPR/TRPV2/FABP5/LCN2/NPR3/QKI/ADRB2/ALDH1A1/LAMA4/EPAS1/EGR1/LGR4/CD36/CAV1/FABP4/EDNRB/ZNF423/ACADL/ID1",20
"BP","GO:0048659","smooth muscle cell proliferation","18/652","163/18842",0.110429447852761,3.19127554668975,5.31953176486021,1.44992237974196e-05,0.000325258706977936,0.000107878479342605,"MMP9/RGCC/IL6/EDN1/RGS5/OGN/HPGD/BMP2/S1PR1/NR4A3/KLF4/CNN1/NPR1/ADAMTS1/FGFR2/HBEGF/PIK3R1/IGFBP3",18
"BP","GO:0010595","positive regulation of endothelial cell migration","16/652","133/18842",0.120300751879699,3.47654412103879,5.42632780134362,1.46932259263401e-05,0.000327978988623107,0.000108780714520231,"GPI/PLPP3/SRPX2/EDN1/ANGPT1/LCN2/GATA2/AKT3/TGFBR3/RRAS/JCAD/SASH1/TEK/ANXA3/GREM1/SEMA5A",16
"BP","GO:0030193","regulation of blood coagulation","11/652","66/18842",0.166666666666667,4.81646216768916,5.88018262130054,1.4881872923447e-05,0.000329493875988655,0.00010928315685879,"PROS1/EDN1/SERPING1/FAP/PLAU/CEACAM1/F2RL1/THBD/CPB2/CD36/CAV1",11
"BP","GO:0007611","learning or memory","19/652","179/18842",0.106145251396648,3.06746752579086,5.26179479839728,1.49268177746357e-05,0.000329493875988655,0.00010928315685879,"GPI/CLDN5/MME/FEN1/LDLR/NTRK2/MDK/LCN2/FOS/AGER/KAT2B/SLC1A1/EGR1/NEDD9/NRGN/PTN/SLC6A4/BCHE/CAMK2N1",19
"BP","GO:0002921","negative regulation of humoral immune response","6/652","17/18842",0.352941176470588,10.1995669433418,7.18428868845812,1.49803159409346e-05,0.000329493875988655,0.00010928315685879,"SERPING1/A2M/C4BPA/CD55/CLU/VSIG4",6
"BP","GO:0032963","collagen metabolic process","14/652","105/18842",0.133333333333333,3.85316973415133,5.55049419426344,1.54133297694914e-05,0.000337372349177848,0.000111896208220546,"MMP9/RGCC/COL1A1/IL6/MFAP4/TNXB/COL5A1/FAP/PLOD2/MMP1/MMP11/MMP7/P3H2/MMP12",14
"BP","GO:0071674","mononuclear cell migration","21/652","212/18842",0.0990566037735849,2.86261430721148,5.1634961874945,1.56824691544944e-05,0.000341605088973988,0.000113300080039699,"GAS6/IL6/MDK/CX3CR1/SFTPD/PECAM1/MIF/ICAM2/CXCL12/AGER/S1PR1/SLIT2/NEDD9/DUSP1/C5AR1/JAM2/CXCL13/STK39/EDNRB/GREM1/ALOX5",21
"BP","GO:0042744","hydrogen peroxide catabolic process","7/652","25/18842",0.28,8.09165644171779,6.71741102706575,1.60430818332545e-05,0.000347780076856465,0.000115348136827817,"HBB/HBA1/PRDX4/DUOX1/GPX3/CAT/HBA2",7
"BP","GO:0002920","regulation of humoral immune response","9/652","44/18842",0.204545454545455,5.91111266034579,6.17461431786243,1.61217132590162e-05,0.000347812464521072,0.000115358878836969,"SERPING1/A2M/C4BPA/CD55/CLU/VSIG4/GATA6/CXCL13/PGC",9
"BP","GO:0043410","positive regulation of MAPK cascade","33/652","428/18842",0.0771028037383178,2.22817642337022,4.86595394838082,1.62532669486109e-05,0.00034898086033946,0.000115746400405044,"CHI3L1/GAS6/IL6/EDN1/NTRK2/ANGPT1/CCN2/PECAM1/MARCO/MIF/ADRB2/JCAD/BMP2/AGER/F2RL1/RAMP3/SASH1/TEK/CAV2/ARRB1/EZH2/FGFR4/C5AR1/GPR37/CD36/GADD45B/STK39/FGFR2/GDF15/PLA2G1B/INAVA/FERMT2/GHR",33
"BP","GO:1903035","negative regulation of response to wounding","13/652","92/18842",0.141304347826087,4.08352227260603,5.61306136890463,1.63782524171998e-05,0.000349997820612105,0.000116083695381046,"PROS1/EDN1/SERPING1/DSG2/MDK/FAP/PLAU/CEACAM1/THBD/SPP1/CPB2/IL33/ALOX5",13
"BP","GO:0001657","ureteric bud development","11/652","67/18842",0.164179104477612,4.74457467264902,5.81312078940404,1.7255819771158e-05,0.000363871096121789,0.000120685041427679,"TCF21/GPC3/BMP2/EPCAM/SLIT2/LGR4/CAT/FGFR2/AGTR2/GREM1/SMAD6",11
"BP","GO:1900046","regulation of hemostasis","11/652","67/18842",0.164179104477612,4.74457467264902,5.81312078940404,1.7255819771158e-05,0.000363871096121789,0.000120685041427679,"PROS1/EDN1/SERPING1/FAP/PLAU/CEACAM1/F2RL1/THBD/CPB2/CD36/CAV1",11
"BP","GO:0048598","embryonic morphogenesis","29/652","354/18842",0.0819209039548023,2.36741360784722,4.91717862839301,1.7269793683042e-05,0.000363871096121789,0.000120685041427679,"FOXF1/MMP9/EFEMP1/FOLR1/COL5A2/TGFBR2/COL5A1/TFAP2A/TCF21/PTCH1/GPC3/ZBTB16/RBP4/TBX3/ITGA8/NR4A3/COL11A1/EDNRA/KLF4/FLRT3/DUSP1/ENG/FGFR2/FOXF2/DLC1/GREM1/SOBP/TBX2/SULF1",29
"BP","GO:1901654","response to ketone","20/652","197/18842",0.101522842639594,2.93388558437918,5.165853889106,1.73502518665302e-05,0.000363871096121789,0.000120685041427679,"GPI/GAS6/EDN1/SRD5A1/TGFBR3/FOS/PTGER4/POSTN/SLIT2/SPP1/FBP1/DUSP1/KLF9/STK39/CAV1/AQP1/CLDN4/FOSB/GHR/TBX2",20
"BP","GO:0035051","cardiocyte differentiation","16/652","135/18842",0.118518518518519,3.42503976369007,5.35356522705481,1.77569343617557e-05,0.000370676004801651,0.000122942023899477,"FOLR1/EDN1/MYH11/MEIS1/TGFBR3/CDK1/BMP2/TBX3/GATA6/EDNRA/NEBL/CCNB1/EFNB2/GREM1/FHL2/TBX2",16
"BP","GO:0002237","response to molecule of bacterial origin","27/652","319/18842",0.0846394984326019,2.44597765255688,4.9312915781039,1.88123514228787e-05,0.000387774358563569,0.000128613030896448,"MMP9/SLPI/IL6/EDN1/NQO1/NR4A1/IRAK3/CD24/CX3CR1/LCN2/MIF/CD55/FOS/HPGD/CXCL2/SASH1/SLC7A5/ZFP36/CD36/CXCL13/EFNB2/FGFR2/PLSCR4/EDNRB/INAVA/SMAD6/SCGB1A1",27
"BP","GO:0062197","cellular response to chemical stress","26/652","301/18842",0.0863787375415282,2.49623952876913,4.9542420145271,1.88155580904747e-05,0.000387774358563569,0.000128613030896448,"IL6/EDN1/NQO1/LCN2/MYLK/SLC2A1/CDK1/CAPN3/FOS/FBLN5/KLF2/EDNRA/KAT2B/KLF4/NET1/FBP1/GPX3/GPR37/CAT/CD36/STK39/CAV1/GDF15/AQP1/ECT2/ALOX5",26
"BP","GO:0048639","positive regulation of developmental growth","15/652","121/18842",0.12396694214876,3.58249252142169,5.39543741395828,1.88340174152632e-05,0.000387774358563569,0.000128613030896448,"EDN1/TRPV2/ACACB/TGFBR3/CDK1/CAPN3/CXCL12/NEDD4L/CCNB1/MACF1/FGFR2/GHR/TBX2/AGR2/SEMA5A",15
"BP","GO:0044784","metaphase/anaphase transition of cell cycle","14/652","107/18842",0.130841121495327,3.78114786996159,5.46196035562216,1.91745962097238e-05,0.000392992065043839,0.000130343586385576,"BUB1B/DLGAP5/TTK/ZWINT/NDC80/TRIP13/BIRC5/UBE2C/CENPF/DUSP1/BUB1/CCNB1/CDC20/MAD2L1",14
"BP","GO:0072163","mesonephric epithelium development","11/652","68/18842",0.161764705882353,4.6748015156983,5.74737268395733,1.99509800889922e-05,0.000405220582077774,0.000134399415772876,"TCF21/GPC3/BMP2/EPCAM/SLIT2/LGR4/CAT/FGFR2/AGTR2/GREM1/SMAD6",11
"BP","GO:0072164","mesonephric tubule development","11/652","68/18842",0.161764705882353,4.6748015156983,5.74737268395733,1.99509800889922e-05,0.000405220582077774,0.000134399415772876,"TCF21/GPC3/BMP2/EPCAM/SLIT2/LGR4/CAT/FGFR2/AGTR2/GREM1/SMAD6",11
"BP","GO:0042180","ketone metabolic process","21/652","216/18842",0.0972222222222222,2.80960293115201,5.06418765740566,2.08145385872145e-05,0.000420864369909193,0.000139587987227556,"NME1/EDN1/SRD5A1/NQO1/PGK1/FABP5/HSD17B6/CYP2B6/ACACB/PDK4/CEACAM1/BMP2/DKK3/CES1/KAT2B/EGR1/FGFR4/CAV1/GDF15/EDNRB/ACADL",21
"BP","GO:0120161","regulation of cold-induced thermogenesis","17/652","152/18842",0.111842105263158,3.23209961252825,5.23106526470789,2.11041272397042e-05,0.000424814775552796,0.000140898217344308,"LEPR/TRPV2/FABP5/LCN2/NPR3/QKI/ADRB2/ALDH1A1/LAMA4/EPAS1/LGR4/CD36/CAV1/FABP4/ZNF423/ACADL/ID1",17
"BP","GO:0032355","response to estradiol","14/652","108/18842",0.12962962962963,3.74613724153601,5.4184900567863,2.13417966868655e-05,0.000427689605604785,0.000141851711555911,"GPI/COL1A1/SRD5A1/PTCH1/SOCS2/HPGD/RAMP3/EZH2/IGFBP2/DUSP1/CRYAB/CAT/SLC6A4/GHR",14
"BP","GO:0042742","defense response to bacterium","27/652","322/18842",0.0838509316770186,2.42318904088709,4.87673838912075,2.22149011587441e-05,0.000443216766923793,0.000147001601522471,"IGHG1/SLC15A2/SLPI/IL6/WFDC2/LCN2/HLA-E/COLEC12/FGR/SFTPD/IGHD/MMRN2/IGHM/H2BC5/F2RL1/IL7R/IGHA1/IGHG3/IL33/DUOX1/CXCL13/IGHA2/PLA2G1B/ANXA3/AQP1/PGC/DMBT1",27
"BP","GO:0042063","gliogenesis","22/652","234/18842",0.094017094017094,2.71697865869645,5.00359788453682,2.2498577894235e-05,0.000446899064868306,0.000148222908421312,"TNFRSF21/IL6/LDLR/NTRK2/MDK/ADGRG6/CX3CR1/QKI/CLU/CDK1/MYRF/ZEB2/GPM6B/BMP2/AGER/SLC7A5/IL33/PTN/VCAN/C5AR1/SOX4/COL3A1",22
"BP","GO:0048644","muscle organ morphogenesis","10/652","57/18842",0.175438596491228,5.06996017651491,5.8261466363741,2.2824319756544e-05,0.000448828951941545,0.000148862993615951,"MYLK/TGFBR3/BMP2/S1PR1/EDNRA/DSP/ENG/FGFR2/TNNC1/COL3A1",10
"BP","GO:0060415","muscle tissue morphogenesis","10/652","57/18842",0.175438596491228,5.06996017651491,5.8261466363741,2.2824319756544e-05,0.000448828951941545,0.000148862993615951,"MYLK/TGFBR3/BMP2/S1PR1/EDNRA/DSP/ENG/FGFR2/TNNC1/COL3A1",10
"BP","GO:1990748","cellular detoxification","15/652","123/18842",0.121951219512195,3.52424061050426,5.31742540513298,2.29471728817256e-05,0.000448828951941545,0.000148862993615951,"HBB/SLC39A8/NQO1/SESN1/HBA1/ALDH2/ALDH1A1/ALOX5AP/FBLN5/PRDX4/GPX3/CAT/CD36/CP/HBA2",15
"BP","GO:0106106","cold-induced thermogenesis","17/652","153/18842",0.111111111111111,3.21097477845944,5.19871362833331,2.29938984028602e-05,0.000448828951941545,0.000148862993615951,"LEPR/TRPV2/FABP5/LCN2/NPR3/QKI/ADRB2/ALDH1A1/LAMA4/EPAS1/LGR4/CD36/CAV1/FABP4/ZNF423/ACADL/ID1",17
"BP","GO:0001936","regulation of endothelial cell proliferation","18/652","169/18842",0.106508875739645,3.07797582313864,5.13731525269289,2.37611135887108e-05,0.000461805436084039,0.000153166901079374,"RGCC/NR4A1/MDK/GATA2/AKT3/MMRN2/JCAD/CXCL12/TEK/CAV2/AGTR1/ENG/TIE1/COL4A3/CAV1/SULF1/SEMA5A/ALOX5",18
"BP","GO:0003073","regulation of systemic arterial blood pressure","12/652","82/18842",0.146341463414634,4.22908873260512,5.5479164424605,2.4072648592016e-05,0.00046585224249528,0.000154509104416204,"MME/NMU/EDN1/ADRB2/CPA3/F2RL1/KCNK3/KL/AGTR1/ENG/AGTR2/EDNRB",12
"BP","GO:0045785","positive regulation of cell adhesion","33/652","437/18842",0.0755148741418764,2.18228720641294,4.73429396350866,2.47516696013701e-05,0.000476945633472554,0.000158188446809527,"PLPP3/EMP2/IL6/DSG2/HSPD1/HYAL1/MDK/CD24/TGFBR2/HLA-E/NDNF/CD55/ZBTB16/RRAS/CXCL12/AGER/FBLN1/ECM2/IL7R/NR4A3/PODXL/TEK/NEDD9/IGFBP2/CD36/CXCL13/CAV1/EFNB2/FERMT2/SOX4/SFN/AGR2/ALOX5",33
"BP","GO:0030856","regulation of epithelial cell differentiation","16/652","139/18842",0.115107913669065,3.32647746833208,5.21206756735414,2.56326713139717e-05,0.000491820063637015,0.000163121845586577,"CLDN5/MMP9/WFDC2/DSG2/CD24/TMEM100/CEACAM1/ZEB2/APOLD1/BMP2/CDH5/ZFP36/ZBED2/CAV1/MAFF/SFN",16
"BP","GO:0030282","bone mineralization","13/652","96/18842",0.135416666666667,3.91337551124744,5.41797751915802,2.60887834669006e-05,0.000496347361401919,0.000164623413378403,"CLEC3B/ADGRG6/TFAP2A/GPM6B/BMP2/S1PR1/KL/SPP1/LGR4/PTN/FGFR2/GREM1/ALOX5",13
"BP","GO:1905954","positive regulation of lipid localization","13/652","96/18842",0.135416666666667,3.91337551124744,5.41797751915802,2.60887834669006e-05,0.000496347361401919,0.000164623413378403,"EDN1/PTCH1/ACACB/MIF/ABCA3/ABCG1/CES1/SPP1/LPL/CD36/CAV1/ABCA8/MSR1",13
"BP","GO:0007610","behavior","31/652","400/18842",0.0775,2.23965490797546,4.744453714229,2.64563741372709e-05,0.000501226012541826,0.000166241514462018,"GPI/CLDN5/MME/FEN1/NMU/LEPR/SRPX2/LDLR/NTRK2/MDK/CX3CR1/LCN2/FOS/CXCL12/AGER/NR4A3/KAT2B/SLC1A1/WFS1/EGR1/NEDD9/NRGN/PTN/GDF15/AGTR2/SLC6A4/BCHE/PTGDS/EDNRB/CAMK2N1/FOSB",31
"BP","GO:0003208","cardiac ventricle morphogenesis","10/652","58/18842",0.172413793103448,4.98254707002327,5.75095934644561,2.67346608735466e-05,0.000504379020413479,0.000167287271846069,"FOXF1/TGFBR2/TGFBR3/EDNRA/DSP/HEY1/ENG/FGFR2/TNNC1/SOX4",10
"BP","GO:0097305","response to alcohol","23/652","254/18842",0.0905511811023622,2.61681802811458,4.91157853382749,2.6909929943814e-05,0.000505570308819406,0.000167682386193304,"CLDN5/TGFBR2/PTCH1/RBP4/TGFBR3/CDK1/FOS/HPGD/PTGER4/CES1/CDH1/CDO1/SLIT2/FBP1/CLDN18/CAT/KLF9/STK39/FGFR2/GABBR1/FOSB/GHR/CLDN3",23
"BP","GO:0035909","aorta morphogenesis","7/652","27/18842",0.259259259259259,7.49227448307203,6.39125384039609,2.79028795989527e-05,0.000522050141542232,0.000173148248461764,"TGFBR2/MYLK/HEY1/ENG/SOX4/TBX2/COL3A1",7
"BP","GO:0051983","regulation of chromosome segregation","16/652","140/18842",0.114285714285714,3.30271691498685,5.17749830974808,2.80304968798745e-05,0.000522270704261793,0.000173221402447424,"BUB1B/DLGAP5/TTK/ZWINT/CDK1/NDC80/TRIP13/KAT2B/BIRC5/UBE2C/CENPF/DUSP1/BUB1/CCNB1/CDC20/MAD2L1",16
"BP","GO:0001819","positive regulation of cytokine production","36/652","499/18842",0.0721442885771543,2.08488141928028,4.65004102015301,2.84327954516187e-05,0.000527586315602258,0.000174984430018657,"CHI3L1/RGCC/GAPDH/IL6/SPTBN1/HSPD1/MDK/IRAK3/HLA-E/FGR/CD34/HYAL2/MIF/CD55/IGHD/CLU/AGER/F2RL1/NR4A3/PTGER4/SLC7A5/TYROBP/EGR1/CADM1/LPL/IL33/DUOX1/C5AR1/POU2AF1/CD36/KPNA2/PLA2G1B/INAVA/SULF1/IL1RL1/MMP12",36
"BP","GO:0098754","detoxification","18/652","172/18842",0.104651162790698,3.02429019831645,5.04921960532858,3.0128971851974e-05,0.000555674194643577,0.000184300330297206,"HBB/SLC39A8/SLC15A2/NQO1/SESN1/HBA1/ALDH2/ALDH1A1/ALOX5AP/MT1M/FBLN5/ABCG1/PRDX4/GPX3/CAT/CD36/CP/HBA2",18
"BP","GO:0000280","nuclear division","32/652","422/18842",0.0758293838862559,2.19137615212398,4.68618833039058,3.02119355746118e-05,0.000555674194643577,0.000184300330297206,"CENPA/RGCC/RCC1/H3-3B/EDN1/KIF2A/TPX2/BUB1B/DLGAP5/TTK/ZWINT/KIF11/NUSAP1/CDK1/UBE2S/NDC80/TRIP13/KAT2B/BIRC5/AURKA/PRC1/UBE2C/CENPF/CAV2/DUSP1/BUB1/TOP2A/CCNB1/NEK2/CDC20/KIF4A/MAD2L1",32
"BP","GO:0031667","response to nutrient levels","34/652","461/18842",0.0737527114967462,2.13136286813143,4.65615296239031,3.03162235267953e-05,0.000555674194643577,0.000184300330297206,"FOLR1/COL1A1/GAS6/SRD5A1/LDLR/SESN1/LCN2/ACACB/PDK4/PMAIP1/ZEB2/FOS/KL/SHMT2/SLC7A5/KAT2B/POSTN/SPP1/GCLC/ZFP36/FBP1/LPL/IGFBP2/CYP24A1/ATF3/CAT/FAM107A/STK39/CAV1/GDF15/KANK2/SLC6A4/BCHE/GHR",34
"BP","GO:0010565","regulation of ketone metabolic process","16/652","141/18842",0.113475177304965,3.27929339076709,5.14324006114649,3.06247333612365e-05,0.000559056367310993,0.000185422094715521,"NME1/EDN1/PGK1/FABP5/ACACB/PDK4/CEACAM1/BMP2/DKK3/CES1/KAT2B/EGR1/FGFR4/CAV1/GDF15/ACADL",16
"BP","GO:0043116","negative regulation of vascular permeability","6/652","19/18842",0.315789473684211,9.12592831772683,6.70910809872988,3.09520153328038e-05,0.000562752569095211,0.000186648013097629,"CLDN5/ANGPT1/CEACAM1/RAMP2/SLIT2/FERMT2",6
"BP","GO:0036302","atrioventricular canal development","5/652","12/18842",0.416666666666667,12.0411554192229,7.24334897333992,3.16092528415948e-05,0.000572394060492975,0.000189845804296671,"BMP2/TBX3/GATA6/ENG/TBX2",5
"BP","GO:0060348","bone development","15/652","127/18842",0.118110236220472,3.41324090623641,5.16615040877061,3.3616860531576e-05,0.000606313696547505,0.000201095922061129,"LEPR/SRD5A1/OGN/TFAP2A/ZBTB16/BMP2/FBLN5/PTGER4/TYROBP/FGFR2/GREM1/GHR/COL3A1/SULF1/COL13A1",15
"BP","GO:0045787","positive regulation of cell cycle","26/652","312/18842",0.0833333333333333,2.40823108384458,4.7486803501652,3.4870758293953e-05,0.000624783364550551,0.00020722175253203,"FEN1/RGCC/RCC1/EDN1/DLGAP5/RRM2/NUSAP1/CDK1/NDC80/TBX3/KAT2B/BIRC5/AURKA/UBE2C/EZH2/ADAMTS1/BUB1/MEIS2/CCNB1/TAL1/FGFR2/SLC6A4/CDC20/ECT2/TBX2/MAD2L1",26
"BP","GO:0043065","positive regulation of apoptotic process","35/652","484/18842",0.0723140495867769,2.08978730416265,4.59844678811522,3.49180323501306e-05,0.000624783364550551,0.00020722175253203,"RGCC/IL6/HSPD1/CDKN2A/LCN2/TFAP2A/FAP/HYAL2/MELK/PMAIP1/ADRB2/CLU/HPGD/BMP2/TNFSF10/RPS6KA2/MNDA/PHLDA2/NET1/SLIT2/HOXA5/UBD/DUSP1/PERP/ID3/ATF3/TOP2A/GADD45B/CAV1/PLA2G1B/AGTR2/DLC1/ECT2/SOX4/IGFBP3",35
"BP","GO:0009410","response to xenobiotic stimulus","29/652","368/18842",0.078804347826087,2.27734895972259,4.68503048835982,3.53426277202002e-05,0.000629881060831552,0.000208912504266409,"COL1A1/GAS6/EDN1/SRD5A1/NQO1/MDK/TGFBR2/LCN2/CYP2B6/PTCH1/RBP4/ALDH2/FOS/ABCA3/KCNK3/GATA6/CDH1/ABCC3/CENPF/FBP1/C1orf115/IGFBP2/CAT/CCNB1/SLC6A4/BCHE/FMO2/FOSB/SCGB1A1",29
"BP","GO:0070301","cellular response to hydrogen peroxide","10/652","60/18842",0.166666666666667,4.81646216768916,5.60563855869705,3.62997713180873e-05,0.000644392397138801,0.000213725475788679,"IL6/EDN1/LCN2/CDK1/KLF2/KLF4/NET1/CAT/AQP1/ECT2",10
"BP","GO:0045927","positive regulation of growth","20/652","208/18842",0.0961538461538462,2.77872817366682,4.88368483191551,3.81167758321555e-05,0.000673994283243878,0.000223543526436299,"H3-3B/EDN1/TRPV2/HYAL1/ACACB/TGFBR3/CDK1/CAPN3/CXCL12/WFS1/NEDD4L/CCNB1/MACF1/FGFR2/HBEGF/GHR/TBX2/SFN/AGR2/SEMA5A",20
"BP","GO:0035904","aorta development","8/652","38/18842",0.210526315789474,6.08395221181789,5.93919466083774,3.83918780384921e-05,0.000676206945607659,0.000224277399645478,"TGFBR2/MYLK/EDNRA/HEY1/ENG/SOX4/TBX2/COL3A1",8
"BP","GO:0150116","regulation of cell-substrate junction organization","11/652","73/18842",0.150684931506849,4.35460963106143,5.43678645897422,3.960008854837e-05,0.000694773537994554,0.000230435377004123,"GPM6B/SLK/LIMCH1/TEK/FAM107A/MACF1/DLC1/GREM1/PIK3R1/ARHGAP6/FERMT2",11
"BP","GO:0002042","cell migration involved in sprouting angiogenesis","13/652","100/18842",0.13,3.75684049079755,5.23314893800879,4.05004896174673e-05,0.000705978039776868,0.000234151571492191,"SRPX2/NR4A1/GATA2/AKT3/MMRN2/STARD13/TGFBR3/JCAD/CDH5/KLF4/SLIT2/EFNB2/GREM1",13
"BP","GO:0007015","actin filament organization","33/652","448/18842",0.0736607142857143,2.12870426161262,4.57762807296573,4.05518545802193e-05,0.000705978039776868,0.000234151571492191,"EMP2/RGCC/SYNPO/SPTBN1/CCN2/MARCKSL1/WASF3/ZEB2/CYRIA/CXCL12/F2RL1/GMFG/KANK3/S1PR1/PTGER4/LMOD1/CNN1/SLIT2/LIMCH1/NEDD9/ARRB1/NEBL/DIAPH2/FAM107A/SORBS1/KANK2/PLA2G1B/DLC1/PIK3R1/MYL9/ARHGAP6/FERMT2/SEMA5A",33
"BP","GO:0007204","positive regulation of cytosolic calcium ion concentration","17/652","160/18842",0.10625,3.07049463190184,4.97945531516059,4.09989289232704e-05,0.00070829184105374,0.000234918989421043,"NMU/EDN1/CD24/CX3CR1/GATA2/CD55/F2RL1/CD52/PTGER4/EDNRA/AGTR1/C5AR1/CD36/CXCL13/CAV1/PLA2G1B/EDNRB",17
"BP","GO:1902850","microtubule cytoskeleton organization involved in mitosis","17/652","160/18842",0.10625,3.07049463190184,4.97945531516059,4.09989289232704e-05,0.00070829184105374,0.000234918989421043,"CENPA/RCC1/KIF2A/TPX2/DLGAP5/TTK/KIF11/NUSAP1/CDK1/NDC80/TACC1/BIRC5/AURKA/PRC1/CCNB1/EML1/KIF4A",17
"BP","GO:0032956","regulation of actin cytoskeleton organization","27/652","334/18842",0.0808383233532934,2.33612835678337,4.66445698342569,4.21345391398292e-05,0.000725132202219427,0.000240504428073905,"RGCC/SYNPO/SPTBN1/EDN1/CCN2/WASF3/GPM6B/CYRIA/CXCL12/F2RL1/GMFG/KANK3/S1PR1/PTGER4/LMOD1/SLIT2/LIMCH1/NEDD9/FAM107A/KANK2/DLC1/ECT2/PIK3R1/ARHGAP6/FERMT2/SEMA5A/ARHGAP44",27
"BP","GO:0150115","cell-substrate junction organization","13/652","101/18842",0.128712871287129,3.7196440502946,5.18842802565337,4.50378809697251e-05,0.000772151350922016,0.00025609925813748,"GPM6B/SLK/DST/LIMCH1/TEK/FAM107A/MACF1/SORBS1/DLC1/GREM1/PIK3R1/ARHGAP6/FERMT2",13
"BP","GO:0060317","cardiac epithelial to mesenchymal transition","7/652","29/18842",0.241379310344828,6.97556589803258,6.09689105129531,4.6173997421577e-05,0.000788630887779888,0.000261565022276481,"EMP2/TGFBR2/TGFBR3/BMP2/TBX3/HEY1/ENG",7
"BP","GO:0006909","phagocytosis","21/652","228/18842",0.0921052631578947,2.66172909267033,4.77933216495472,4.64679096452174e-05,0.000790655866378436,0.000262236646455099,"LEPR/SRPX/GAS6/LDLR/COLEC12/GATA2/C4BPA/FGR/SFTPD/PECAM1/MARCO/AGER/F2RL1/CD302/TYROBP/FCN3/CD93/CD36/ANXA3/CFB/MSR1",21
